#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-27T22:19:12 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54c7defe3919	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/194/42&tab:{J/ApJS/194/42/table3}&key:source=J/ApJS/194/42&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/194/42/table3
#-order=I
#-out=SDSS
#-out=z
#-out=LL(b)
#-out=st(a)
#-out=MBH(ab)
#-out=e_MBH(ab)
#DR3+7=DR3+7
#Sloan=Sloan
#Simbad=Simbad
#NED=NED
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21940042
#Name: J/ApJS/194/42
#Title: SDSS-DR3 MgII-based black hole masses (Rafiee+, 2011)
#Table	J_ApJS_194_42_table3:
#Name: J/ApJS/194/42/table3
#Title: Catalog of virial mass measurements
#Column	SDSS	(A18)	SDSS designation (HHMMSS.ss+DDMMSS.s; J2000)	[ucd=meta.id;meta.main]
#Column	z	(F7.4)	Redshift (spectroscopic)	[ucd=src.redshift]
#Column	LL(b)	(E8.1)	? Monochromatic 3000{AA} luminosity; in 10^44^erg/s units (2)	[ucd=meta.unit]
#Column	st(a)	(F5.1)	? Intrinsic {sigma}(MgII); in Angstrom (4)	[ucd=stat.error]
#Column	MBH(ab)	(E9.2)	? BH mass, after PCA and before RPC (4)	[ucd=phys.mass]
#Column	e_MBH(ab)	(E9.2)	? Error in MBH(ab) (4)	[ucd=stat.error]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
SDSS;z;LL(b);st(a);MBH(ab);e_MBH(ab);RAJ2000;DEJ2000
014139.00+130245.0; 1.4910; 1.2e+01; 10.6; 9.27e+07; 1.95e+07;025.41250;+13.04585
014144.32+142543.5; 0.9600; 4.3e+01; 26.8; 1.63e+09; 3.43e+08;025.43469;+14.42877
014150.10+151532.9; 1.4863; 1.0e+01;  9.2; 9.29e+07; 1.96e+07;025.45877;+15.25916
014152.37-103322.3; 1.5679; 8.4e+01; 18.9; 1.15e+09; 2.41e+08;025.46822;-10.55621
014156.02-004614.0; 1.0833; 2.6e+01; 23.7; 1.02e+09; 2.15e+08;025.48343;-00.77058
014202.93+132035.9; 1.0779; 5.8e+00; 20.9; 3.47e+08; 7.32e+07;025.51225;+13.34333
014209.72-002348.3; 1.3535; 6.4e+01; 19.9; 1.11e+09; 2.34e+08;025.54050;-00.39675
014210.03+151109.8; 1.1858; 4.1e+00; 20.5; 2.90e+08; 6.12e+07;025.54181;+15.18607
014214.54+125058.2; 1.2886; 7.5e+01; 25.7; 2.01e+09; 4.24e+08;025.56061;+12.84950
014218.62+125253.0; 1.4095; 6.2e+00; 21.7; 4.08e+08; 8.60e+07;025.57762;+12.88139
014220.81-005331.1; 1.5641; 4.4e+01; 22.3; 1.17e+09; 2.47e+08;025.58673;-00.89198
014223.87+142051.4; 1.6998; 4.8e+01; 17.3; 7.14e+08; 1.50e+08;025.59947;+14.34762
014226.39+001157.0; 1.4113; 7.4e+01; 19.0; 1.09e+09; 2.30e+08;025.60999;+00.19919
014227.80-095252.6; 1.5531; 5.0e+01; 18.4; 8.09e+08; 1.70e+08;025.61584;-09.88130
014232.68-102642.9; 1.2497; 3.1e+01; 16.8; 5.56e+08; 1.17e+08;025.63619;-10.44526
014240.88+143840.0; 1.8751; 5.6e+01; 22.1; 1.30e+09; 2.74e+08;025.67035;+14.64446
014251.74+133352.6; 1.0751; 1.4e+01; 21.1; 5.60e+08; 1.18e+08;025.71560;+13.56461
014257.72+150012.9; 1.7590; 1.2e+02; 19.6; 1.45e+09; 3.06e+08;025.74051;+15.00360
014259.29+150353.7; 1.8735; 3.0e+01;  2.9; 1.50e+07; 3.15e+06;025.74706;+15.06493
014305.31-092335.1; 1.7660; 6.2e+01; 19.9; 1.09e+09; 2.30e+08;025.77216;-09.39311
014307.67+001532.5; 1.0083; 3.6e+01; 19.7; 8.17e+08; 1.72e+08;025.78197;+00.25905
014334.89-005635.1; 1.5370; 4.4e+01; 20.3; 9.99e+08; 2.10e+08;025.89538;-00.94311
014339.66+132146.4; 1.2348; 2.4e+01; 17.0; 4.80e+08; 1.01e+08;025.91525;+13.36289
014341.48-101621.3; 1.5955; 6.3e+01; 19.8; 1.07e+09; 2.24e+08;025.92284;-10.27259
014348.77+132312.8; 1.1185; 1.8e+00;  8.6; 3.23e+07; 6.81e+06;025.95321;+13.38689
014350.14+141453.0; 1.4378; 6.6e+01; 22.7; 1.51e+09; 3.19e+08;025.95892;+14.24808
014355.76-001338.1; 1.1469; 5.3e+01; 23.2; 1.36e+09; 2.86e+08;025.98234;-00.22728
014358.71+144222.8; 1.6345; 7.3e+01; 15.4; 7.02e+08; 1.48e+08;025.99465;+14.70635
014415.13-002349.6; 1.7110; 9.8e+01; 16.2; 9.33e+08; 1.97e+08;026.06304;-00.39712
014421.15-000718.3; 1.1611; 5.7e+01; 16.6; 7.35e+08; 1.55e+08;026.08814;-00.12175
014427.89-094227.6; 1.5550; 5.4e+01; 15.4; 6.15e+08; 1.30e+08;026.11624;-09.70768
014429.76+143322.6; 1.6142; 3.8e+01; 10.4; 2.28e+08; 4.80e+07;026.12402;+14.55628
014430.35-095545.8; 1.4739; 4.3e+01; 15.0; 5.31e+08; 1.12e+08;026.12646;-09.92940
014434.49-084359.9; 1.6950; 5.6e+01; 17.4; 7.95e+08; 1.68e+08;026.14372;-08.73332
014435.44-100155.8; 1.8539; 1.2e+02; 21.2; 1.75e+09; 3.68e+08;026.14768;-10.03218
014445.25+134453.3; 0.9736; 7.0e-01; 17.6; 8.84e+07; 1.86e+07;026.18855;+13.74816
014446.93-091056.1; 1.3541; 6.1e+01; 20.2; 1.13e+09; 2.37e+08;026.19555;-09.18225
014501.51+010001.4; 1.9204; 2.0e+02; 23.7; 2.73e+09; 5.75e+08;026.25633;+01.00041
014509.59+134111.7; 1.3693; 7.6e+01; 20.0; 1.23e+09; 2.59e+08;026.28997;+13.68661
014514.38+005816.9; 0.8253; 1.4e+01; 20.3; 5.48e+08; 1.16e+08;026.30995;+00.97139
014514.67-095911.1; 1.5609; 1.3e+02; 24.5; 2.41e+09; 5.07e+08;026.31113;-09.98643
014517.82+135602.2; 1.9482; 1.0e+02; 18.0; 1.15e+09; 2.42e+08;026.32425;+13.93396
014521.86-083356.3; 1.2943; 8.0e+01; 18.1; 1.02e+09; 2.15e+08;026.34111;-08.56564
014523.87-102604.6; 1.5863; 3.8e+01; 18.5; 7.52e+08; 1.58e+08;026.34947;-10.43463
014524.31+000241.5; 1.0364; 2.6e+01; 19.6; 6.85e+08; 1.44e+08;026.35130;+00.04487
014524.96-081904.6; 1.5708; 1.3e+02; 18.6; 1.39e+09; 2.92e+08;026.35402;-08.31797
014536.78+145541.4; 1.1477; 1.0e+02; 18.1; 1.19e+09; 2.50e+08;026.40325;+14.92818
014542.77-100807.7; 1.4629; 1.9e+02; 21.0; 2.14e+09; 4.51e+08;026.42823;-10.13548
014544.09-003828.8; 1.8454; 8.0e+01; 20.3; 1.28e+09; 2.71e+08;026.43373;-00.64135
014553.99-000644.7; 1.6383; 1.3e+02; 15.6; 9.52e+08; 2.01e+08;026.47498;-00.11244
014609.06-082136.5; 1.2761; 5.6e+01; 18.7; 9.08e+08; 1.91e+08;026.53779;-08.36015
014609.84+004321.1; 0.8840; 1.7e+01; 25.2; 9.43e+08; 1.99e+08;026.54103;+00.72254
014609.88-083829.2; 1.4754; 8.1e+01; 13.9; 6.13e+08; 1.29e+08;026.54120;-08.64145
014618.05-005131.9; 0.8327; 2.5e+01; 23.0; 9.15e+08; 1.93e+08;026.57521;-00.85887
014622.93+144816.3; 0.9710; 3.0e+01; 20.2; 7.87e+08; 1.66e+08;026.59558;+14.80453
014623.67+131111.0; 1.1996; 3.4e+01; 19.0; 7.35e+08; 1.55e+08;026.59863;+13.18640
014633.69+010912.9; 1.7316; 4.7e+01; 14.9; 5.59e+08; 1.18e+08;026.64038;+01.15359
014641.18+010815.8; 0.9799; 1.1e+02; 17.4; 1.13e+09; 2.38e+08;026.67159;+01.13775
014658.21-091505.2; 1.6513; 5.6e+01; 19.5; 1.04e+09; 2.19e+08;026.74256;-09.25147
014705.41+133210.0; 1.5902; 3.2e+02; 19.8; 2.44e+09; 5.14e+08;026.77257;+13.53612
014716.38-093818.3; 1.6285; 6.6e+01; 17.3; 8.66e+08; 1.82e+08;026.81829;-09.63844
014717.76+125808.8; 1.5033; 1.5e+02; 20.9; 1.86e+09; 3.92e+08;026.82401;+12.96913
014721.49+133644.7; 1.5755; 1.4e+02; 17.3; 1.21e+09; 2.56e+08;026.83956;+13.61244
014726.63+142150.5; 1.0291; 5.3e+01; 15.4; 6.13e+08; 1.29e+08;026.86097;+14.36403
014812.23+000153.3; 1.7049; 2.1e+02; 18.4; 1.74e+09; 3.66e+08;027.05099;+00.03148
014812.80-005108.7; 1.8204; 1.0e+02; 18.9; 1.25e+09; 2.63e+08;027.05336;-00.85244
014812.82+000323.0; 1.4862; 1.1e+02; 20.7; 1.59e+09; 3.36e+08;027.05345;+00.05639
014820.95-000225.8; 0.9304; 3.2e+01; 15.4; 4.65e+08; 9.79e+07;027.08733;-00.04050
014822.62+132142.7; 0.8769; 4.6e+01; 22.0; 1.15e+09; 2.43e+08;027.09425;+13.36187
014828.29+143500.6; 1.4760; 4.4e+01; 16.6; 6.37e+08; 1.34e+08;027.11789;+14.58352
014828.38-093612.4; 0.7890; 1.7e+00; 17.6; 1.49e+08; 3.13e+07;027.11827;-09.60345
014832.67-084948.6; 1.6633; 1.8e+02; 17.9; 1.49e+09; 3.14e+08;027.13613;-08.83019
014847.61-081936.3; 1.6792; 1.0e+02; 17.1; 1.02e+09; 2.15e+08;027.19839;-08.32676
014855.33+002434.9; 1.6955; 1.1e+02; 16.3; 9.71e+08; 2.05e+08;027.23056;+00.40970
014858.92-003703.1; 1.6355; 4.7e+01; 16.1; 6.32e+08; 1.33e+08;027.24553;-00.61754
014905.15+005925.3; 1.0010; 2.9e+01; 16.4; 5.09e+08; 1.07e+08;027.27148;+00.99038
014921.53-003221.0; 1.3792; 6.5e+01; 19.5; 1.06e+09; 2.24e+08;027.33972;-00.53918
014923.16+142220.9; 0.7760; 1.6e+01; 16.4; 3.70e+08; 7.80e+07;027.34650;+14.37250
014930.89+125129.4; 0.8543; 1.8e+01; 19.9; 5.74e+08; 1.21e+08;027.37872;+12.85818
014931.34-081335.9; 1.1022; 2.0e+01; 28.5; 1.27e+09; 2.68e+08;027.38059;-08.22665
014940.12+001718.0; 1.4668; 1.0e+02; 16.2; 9.39e+08; 1.98e+08;027.41720;+00.28834
014950.96-010314.2; 1.0740; 1.1e+02; 16.5; 1.01e+09; 2.12e+08;027.46233;-01.05395
014957.65-102004.0; 1.8527; 5.6e+01; 21.4; 1.15e+09; 2.41e+08;027.49023;-10.33446
014959.53+150649.0; 0.9543; 2.5e+01; 46.7; 3.85e+09; 8.12e+08;027.49807;+15.11362
015011.44+135401.8; 1.4247; 4.3e+01; 17.9; 7.43e+08; 1.56e+08;027.54770;+13.90052
015014.17+142716.7; 1.7869; 6.1e+01; 19.6; 1.10e+09; 2.32e+08;027.55904;+14.45466
015018.51-093956.0; 1.1764; 3.6e+01; 18.8; 7.57e+08; 1.59e+08;027.57716;-09.66556
015019.87+145954.7; 1.9257; 5.4e+01; 26.5; 1.89e+09; 3.98e+08;027.58280;+14.99855
015027.79-092724.7; 1.4244; 3.1e+01; 15.6; 4.88e+08; 1.03e+08;027.61583;-09.45687
015033.93+002459.9; 1.2324; 5.9e+01; 14.4; 5.53e+08; 1.17e+08;027.64139;+00.41666
015036.70+140347.7; 1.3396; 3.4e+01; 24.5; 1.21e+09; 2.54e+08;027.65295;+14.06327
015039.34+133705.6; 1.4918; 3.4e+01; 20.6; 8.50e+08; 1.79e+08;027.66392;+13.61824
015047.26-082522.7; 1.8614; 7.5e+01; 21.4; 1.37e+09; 2.88e+08;027.69694;-08.42299
015101.84+005631.6; 0.9847; 3.2e+01; 22.4; 1.01e+09; 2.12e+08;027.75768;+00.94214
015108.07-085443.5; 1.7301; 6.0e+01; 21.2; 1.24e+09; 2.62e+08;027.78364;-08.91210
015113.68-095651.3; 1.8826; 1.2e+02; 19.3; 1.39e+09; 2.93e+08;027.80702;-09.94760
015115.40+132035.7; 0.9718; 2.8e+01; 14.0; 3.58e+08; 7.55e+07;027.81420;+13.34328
015122.14-081929.8; 0.8219; 1.7e+01; 25.9; 9.73e+08; 2.05e+08;027.84228;-08.32497
015127.48+131412.2; 1.3577; 3.5e+01; 21.7; 9.62e+08; 2.03e+08;027.86453;+13.23674
015132.25+124352.0; 1.4090; 4.1e+01; 24.3; 1.30e+09; 2.73e+08;027.88441;+12.73112
015135.62+144513.5; 1.8091; 5.8e+01; 18.9; 1.01e+09; 2.12e+08;027.89845;+14.75375
015140.93-093521.3; 1.3579; 5.1e+01; 15.3; 5.83e+08; 1.23e+08;027.92055;-09.58927
015151.58-093215.3; 1.4175; 4.0e+01; 12.9; 3.71e+08; 7.81e+07;027.96492;-09.53760
015201.24-083958.1; 1.5707; 1.1e+02; 18.2; 1.23e+09; 2.59e+08;028.00517;-08.66616
015201.62+134849.6; 1.1707; 3.9e+01; 18.5; 7.38e+08; 1.55e+08;028.00679;+13.81380
015206.48-093901.1; 1.2282; 3.9e+01; 17.0; 6.34e+08; 1.34e+08;028.02702;-09.65031
015214.52+131532.0; 1.5196; 6.1e+01; 17.2; 8.17e+08; 1.72e+08;028.06051;+13.25890
015219.06-001542.3; 1.4610; 4.4e+01; 18.8; 8.23e+08; 1.73e+08;028.07943;-00.26177
015222.07-092119.5; 1.7818; 8.2e+01; 15.9; 7.71e+08; 1.62e+08;028.09199;-09.35544
015229.26-083640.1; 1.7211; 7.8e+01; 19.1; 1.14e+09; 2.39e+08;028.12192;-08.61115
015241.75+134733.5; 1.8126; 2.6e+01; 27.1; 3.29e+09; 6.92e+08;028.17397;+13.79265
015246.91+134202.5; 1.0557; 5.1e+01; 19.8; 9.81e+08; 2.07e+08;028.19547;+13.70071
015248.43+011442.6; 1.1697; 3.9e+01; 21.1; 9.79e+08; 2.06e+08;028.20180;+01.24519
015250.83-005419.5; 0.8850; 2.8e+01; 18.3; 6.26e+08; 1.32e+08;028.21180;-00.90542
015309.12+005250.1; 1.1610; 4.0e+01; 21.9; 1.05e+09; 2.21e+08;028.28803;+00.88059
015312.91+125422.8; 1.8537; 1.3e+02; 21.0; 1.69e+09; 3.55e+08;028.30381;+12.90633
015318.19+000911.3; 0.8378; 5.1e+01; 24.1; 1.46e+09; 3.07e+08;028.32580;+00.15316
015319.56-005545.9; 1.2998; 4.2e+01; 18.9; 8.02e+08; 1.69e+08;028.33154;-00.92943
015320.41+000120.2; 1.7112; 1.0e+02; 18.3; 1.17e+09; 2.47e+08;028.33508;+00.02228
015325.74+145233.4; 1.1757; 1.3e+02; 22.6; 2.07e+09; 4.35e+08;028.35728;+14.87596
015332.19+144417.7; 1.7383; 3.2e+01; 15.3; 4.55e+08; 9.59e+07;028.38416;+14.73827
015333.83+145150.3; 1.4035; 5.6e+01; 20.4; 1.11e+09; 2.33e+08;028.39099;+14.86397
015345.35-100839.5; 1.9123; 7.5e+01; 24.4; 1.81e+09; 3.81e+08;028.43897;-10.14431
015352.65-092010.7; 1.0712; 4.1e+01; 16.6; 6.34e+08; 1.34e+08;028.46938;-09.33632
015354.96-090159.0; 0.7893; 2.3e+01; 15.7; 4.09e+08; 8.62e+07;028.47904;-09.03307
015410.38-005210.4; 1.5299; 7.0e+01; 16.7; 8.22e+08; 1.73e+08;028.54328;-00.86958
015424.26-002553.2; 1.4005; 4.0e+01; 19.5; 8.72e+08; 1.84e+08;028.60110;-00.43146
015425.75-003101.6; 1.7214; 1.3e+02; 18.6; 1.39e+09; 2.92e+08;028.60731;-00.51712
015432.05-084923.7; 1.5080; 5.2e+01; 14.7; 5.57e+08; 1.17e+08;028.63355;-08.82326
015432.82+124015.6; 0.7872; 3.4e+01; 16.3; 5.40e+08; 1.14e+08;028.63675;+12.67100
015452.32-084058.4; 1.4414; 1.1e+02; 18.3; 1.22e+09; 2.57e+08;028.71802;-08.68291
015453.03-095535.3; 1.2881; 1.1e+02; 24.1; 2.12e+09; 4.46e+08;028.72099;-09.92650
015454.36-000723.2; 1.8269; 8.1e+01; 18.7; 1.12e+09; 2.36e+08;028.72653;-00.12312
015454.87+004043.9; 1.6480; 1.1e+02; 17.6; 1.15e+09; 2.42e+08;028.72866;+00.67886
015504.18+140245.6; 1.0212; 2.2e+01; 18.2; 5.49e+08; 1.16e+08;028.76743;+14.04602
015504.73-102328.3; 1.5481; 2.9e+02; 18.3; 1.98e+09; 4.17e+08;028.76974;-10.39122
015523.90+123202.9; 1.6297; 1.6e+02; 19.0; 1.58e+09; 3.33e+08;028.84960;+12.53415
015536.53-093915.3; 1.5802; 6.3e+01; 19.7; 1.08e+09; 2.28e+08;028.90224;-09.65427
015542.03-080739.4; 1.3285; 3.7e+01; 16.3; 5.65e+08; 1.19e+08;028.92513;-08.12763
015545.76-081118.3; 1.5406; 9.7e+01; 18.5; 1.19e+09; 2.52e+08;028.94069;-08.18842
015546.50+144246.1; 1.9460; 1.2e+02; 17.9; 1.31e+09; 2.76e+08;028.94376;+14.71283
015608.19+133050.8; 1.4809; 7.7e+01; 16.0; 7.87e+08; 1.66e+08;029.03416;+13.51413
015613.99-083302.2; 1.1891; 2.9e+01; 18.8; 6.51e+08; 1.37e+08;029.05832;-08.55063
015615.29-084938.4; 1.7819; 6.9e+01; 16.8; 8.41e+08; 1.77e+08;029.06371;-08.82734
015628.40+134142.1; 1.3775; 4.0e+01; 23.7; 1.24e+09; 2.62e+08;029.11836;+13.69504
015631.78-090802.8; 1.6700; 8.0e+01; 15.4; 7.38e+08; 1.55e+08;029.13243;-09.13413
015633.41+131943.9; 1.0180; 6.8e+00; 19.1; 3.33e+08; 7.02e+07;029.13922;+13.32888
015636.03+135212.3; 1.1274; 2.7e+01; 16.2; 4.83e+08; 1.02e+08;029.15015;+13.87009
015650.28+005308.4; 1.6520; 1.4e+02; 16.7; 1.16e+09; 2.44e+08;029.20950;+00.88569
015650.30-101021.8; 1.2955; 3.6e+01; 17.7; 6.63e+08; 1.40e+08;029.20960;-10.17273
015650.82-004532.5; 1.7957; 8.7e+01; 18.0; 1.03e+09; 2.17e+08;029.21179;-00.75904
015653.62+134718.6; 1.4343; 1.9e+01; 17.5; 4.87e+08; 1.02e+08;029.22342;+13.78853
015656.51+123907.9; 1.6296; 5.1e+01; 18.8; 8.80e+08; 1.85e+08;029.23550;+12.65221
015657.74-084234.2; 1.3096; 3.4e+01; 18.1; 6.63e+08; 1.40e+08;029.24061;-08.70952
015657.83-084000.6; 1.1465; 2.7e+01; 27.6; 1.37e+09; 2.89e+08;029.24098;-08.66684
015705.21-010824.5; 1.5157; 4.4e+01; 18.6; 7.93e+08; 1.67e+08;029.27174;-01.14014
015709.66-093524.7; 1.3856; 4.8e+01; 23.0; 1.28e+09; 2.70e+08;029.29027;-09.59020
015716.66-082942.7; 1.3959; 4.7e+01; 16.5; 6.51e+08; 1.37e+08;029.31942;-08.49520
015717.23-001457.0; 1.6394; 6.0e+01; 20.6; 1.17e+09; 2.46e+08;029.32183;-00.24917
015717.52+131226.4; 1.3487; 5.6e+01; 15.1; 5.98e+08; 1.26e+08;029.32304;+13.20735
015720.02+145452.2; 1.1772; 2.6e+01; 19.9; 6.89e+08; 1.45e+08;029.33343;+14.91452
015720.27-093809.1; 1.6491; 5.1e+01; 17.0; 7.36e+08; 1.55e+08;029.33446;-09.63587
015727.21-082610.0; 0.8220; 1.3e+01; 14.7; 2.82e+08; 5.94e+07;029.36339;-08.43614
015733.87-004824.4; 1.5452; 1.3e+02; 19.1; 1.48e+09; 3.13e+08;029.39115;-00.80679
015734.24+003405.6; 1.0833; 4.1e+01; 24.1; 1.31e+09; 2.75e+08;029.39268;+00.56822
015751.96-084312.0; 1.5870; 6.0e+01; 21.0; 1.19e+09; 2.51e+08;029.46654;-08.72000
015804.14-084321.3; 1.1119; 7.3e+01; 15.7; 7.35e+08; 1.55e+08;029.51729;-08.72261
015808.61+141658.1; 0.9301; 7.5e+00; 18.0; 3.23e+08; 6.81e+07;029.53590;+14.28281
015810.76-090046.8; 1.6089; 5.9e+01; 15.6; 6.59e+08; 1.39e+08;029.54485;-09.01301
015815.68+133934.7; 1.9267; 5.4e+01; 22.3; 1.20e+09; 2.53e+08;029.56536;+13.65966
015817.72-100339.7; 1.5680; 5.3e+01; 15.9; 6.38e+08; 1.34e+08;029.57387;-10.06105
015822.92-102211.6; 1.8437; 7.4e+01; 18.0; 1.01e+09; 2.13e+08;029.59551;-10.36990
015823.97+131224.1; 1.1543; 1.0e+01; 22.6; 5.73e+08; 1.21e+08;029.59991;+13.20671
015829.70-083315.4; 1.1178; 2.4e+01; 22.7; 8.88e+08; 1.87e+08;029.62376;-08.55430
015829.80-082855.0; 1.5125; 7.0e+01; 18.3; 9.70e+08; 2.04e+08;029.62421;-08.48195
015831.48+141536.6; 1.8058; 2.9e+01; 32.6; 1.87e+09; 3.94e+08;029.63119;+14.26018
015844.83+135433.7; 1.8479; 1.1e+02; 19.8; 1.45e+09; 3.06e+08;029.68681;+13.90938
015846.57+122631.5; 1.0236; 3.8e+01; 15.7; 5.32e+08; 1.12e+08;029.69407;+12.44209
015848.84+141649.4; 1.6929; 3.6e+01; 18.9; 7.55e+08; 1.59e+08;029.70352;+14.28040
015853.96-092932.6; 1.4534; 5.4e+01; 20.5; 1.08e+09; 2.27e+08;029.72486;-09.49241
015854.55+000610.8; 1.1982; 2.6e+01; 19.4; 6.68e+08; 1.41e+08;029.72732;+00.10300
015856.26+130702.6; 1.8881; 1.1e+02; 17.0; 1.07e+09; 2.24e+08;029.73446;+13.11741
015857.65+123217.7; 1.2418; 5.3e+01; 17.9; 8.17e+08; 1.72e+08;029.74021;+12.53827
015859.60+122854.9; 1.0577; 2.9e+01; 18.3; 6.33e+08; 1.33e+08;029.74834;+12.48193
015900.89-004839.1; 0.9498; 2.9e+01; 18.4; 6.43e+08; 1.35e+08;029.75371;-00.81089
015907.94+144351.6; 0.8088; 3.8e+01; 18.3; 7.11e+08; 1.50e+08;029.78309;+14.73101
015926.41+124712.9; 1.4592; 4.5e+01; 24.2; 1.37e+09; 2.88e+08;029.86005;+12.78693
015938.08+002639.2; 1.6034; 9.2e+01; 17.1; 9.52e+08; 2.01e+08;029.90868;+00.44423
015942.19+141046.1; 1.5983; 2.4e+01; 20.9; 7.70e+08; 1.62e+08;029.92583;+14.17950
015942.43-080817.8; 1.1320; 4.6e+01; 29.6; 2.04e+09; 4.30e+08;029.92683;-08.13830
015952.89+123854.3; 1.3862; 4.1e+01; 17.5; 6.84e+08; 1.44e+08;029.97039;+12.64844
015957.46+130408.8; 1.4674; 2.6e+01; 18.2; 5.94e+08; 1.25e+08;029.98943;+13.06914
015958.75-094232.5; 1.5615; 4.6e+01; 19.6; 9.00e+08; 1.90e+08;029.99480;-09.70904
020002.57+131506.2; 1.0742; 3.5e+01; 16.6; 5.66e+08; 1.19e+08;030.01075;+13.25174
020012.05-002755.1; 1.5567; 5.8e+01; 16.2; 6.94e+08; 1.46e+08;030.05023;-00.46532
020013.95+141704.4; 1.6545; 2.1e+01; 17.8; 5.69e+08; 1.20e+08;030.05813;+14.28457
020017.88+143630.0; 1.2939; 1.3e+01; 23.3; 6.63e+08; 1.40e+08;030.07453;+14.60834
020020.48+135143.3; 0.8779; 9.3e+00; 17.6; 3.07e+08; 6.48e+07;030.08536;+13.86204
020022.01-084512.0; 1.9433; 1.8e+02; 17.2; 1.35e+09; 2.84e+08;030.09172;-08.75336
020023.13-095038.7; 1.5658; 8.2e+01; 15.9; 8.02e+08; 1.69e+08;030.09639;-09.84409
020023.27+130438.8; 1.8628; 3.0e+01; 15.0; 5.03e+08; 1.06e+08;030.09697;+13.07746
020025.51+143120.2; 1.8399; 1.6e+02; 23.0; 2.29e+09; 4.82e+08;030.10632;+14.52229
020032.25-100210.8; 1.3771; 5.8e+01; 23.7; 1.49e+09; 3.14e+08;030.13439;-10.03635
020034.97-002125.7; 1.0417; 3.2e+01; 20.2; 8.11e+08; 1.71e+08;030.14573;-00.35715
020036.79+123155.1; 1.9683; 3.5e+01; 20.0; 9.05e+08; 1.91e+08;030.15330;+12.53199
020040.02+144652.0; 1.8122; 1.3e+02; 19.5; 1.51e+09; 3.19e+08;030.16679;+14.78114
020044.50+122319.0; 1.6553; 2.4e+02; 17.8; 1.70e+09; 3.58e+08;030.18544;+12.38864
020046.46+132018.9; 0.8820; 2.4e+01; 24.1; 1.00e+09; 2.12e+08;030.19359;+13.33859
020047.37+003110.1; 1.6164; 1.0e+02; 17.4; 1.08e+09; 2.28e+08;030.19741;+00.51950
020048.27+143809.4; 1.5686; 8.1e+01; 17.2; 9.30e+08; 1.96e+08;030.20114;+14.63596
020049.47+132828.8; 1.3091; 4.6e+01; 22.8; 1.24e+09; 2.62e+08;030.20614;+13.47469
020052.07-002530.3; 1.2175; 2.9e+01; 24.8; 1.15e+09; 2.43e+08;030.21699;-00.42510
020054.09+140102.4; 1.2420; 2.7e+01; 26.6; 1.29e+09; 2.72e+08;030.22540;+14.01733
020055.13+010453.0; 1.1108; 3.7e+01; 28.0; 1.68e+09; 3.54e+08;030.22972;+01.08141
020059.69-003637.3; 1.0646; 4.2e+01; 19.9; 8.85e+08; 1.86e+08;030.24874;-00.61038
020103.08+122728.0; 1.6526; 8.9e+01; 15.0; 7.34e+08; 1.55e+08;030.26285;+12.45780
020103.41+125756.2; 0.9931; 3.3e+01; 16.6; 5.56e+08; 1.17e+08;030.26422;+12.96564
020103.65-100646.9; 1.0731; 2.1e+01; 21.2; 7.04e+08; 1.48e+08;030.26523;-10.11303
020104.28-101002.5; 0.9055; 2.3e+01; 14.2; 3.38e+08; 7.13e+07;030.26786;-10.16737
020105.14+000617.9; 1.2112; 9.9e+01; 19.4; 1.32e+09; 2.77e+08;030.27145;+00.10499
020108.75-075735.5; 1.0709; 2.7e+01; 19.5; 7.01e+08; 1.48e+08;030.28648;-07.95986
020117.54-095613.4; 1.5862; 8.4e+01; 18.1; 1.05e+09; 2.22e+08;030.32309;-09.93707
020117.99+133001.4; 1.3299; 5.3e+01; 20.3; 1.04e+09; 2.18e+08;030.32496;+13.50041
020121.68-085616.7; 1.1645; 2.2e+01; 24.9; 1.03e+09; 2.16e+08;030.34035;-08.93799
020127.16+143722.0; 1.4500; 2.7e+01; 12.3; 2.80e+08; 5.89e+07;030.36317;+14.62278
020134.65-010317.2; 1.0213; 3.3e+01; 17.8; 6.45e+08; 1.36e+08;030.39438;-01.05478
020141.61+145026.5; 1.7001; 2.3e+02; 20.5; 2.26e+09; 4.75e+08;030.42338;+14.84072
020142.27+144744.5; 1.1903; 1.0e+02; 25.1; 2.25e+09; 4.73e+08;030.42615;+14.79572
020144.32+123924.1; 1.4191; 1.5e+01; 18.3; 4.31e+08; 9.08e+07;030.43468;+12.65671
020156.03+125032.6; 1.1477; 2.3e+01; 16.1; 4.55e+08; 9.58e+07;030.48348;+12.84239
020159.25+144535.3; 1.7332; 3.1e+01; 20.6; 8.48e+08; 1.79e+08;030.49691;+14.75981
